/usr/bin 755 root root 102400 directory drwxr-xr-x
/usr/bin/alsoft-config 755 root root 227624 regular file -rwxr-xr-x
/usr/bin/vss2xhtml 755 root root 18568 regular file -rwxr-xr-x
/usr/bin/png2yuv 755 root root 26568 regular file -rwxr-xr-x
/usr/bin/openssl 755 root root 927336 regular file -rwxr-xr-x
/usr/bin/create-image 755 root root 14456 regular file -rwxr-xr-x
/usr/bin/tpm2_gettime 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/ocs-cvt-dev 755 root root 16298 regular file -rwxr-xr-x
/usr/bin/pinky 755 root root 39040 regular file -rwxr-xr-x
/usr/bin/substrings.pl 755 root root 5039 regular file -rwxr-xr-x
/usr/bin/imlib2_colorspace 755 root root 18480 regular file -rwxr-xr-x
/usr/bin/qt5ct 755 root root 596264 regular file -rwxr-xr-x
/usr/bin/csplit 755 root root 51432 regular file -rwxr-xr-x
/usr/bin/cjpeg 755 root root 88184 regular file -rwxr-xr-x
/usr/bin/smbcacls 755 root root 63616 regular file -rwxr-xr-x
/usr/bin/nl-link-ifindex2name 755 root root 14392 regular file -rwxr-xr-x
/usr/bin/gpg-error 755 root root 35064 regular file -rwxr-xr-x
/usr/bin/drbl-fuh 755 root root 5662 regular file -rwxr-xr-x
/usr/bin/pw-cli 755 root root 108864 regular file -rwxr-xr-x
/usr/bin/timeshift-gtk 755 root root 563376 regular file -rwxr-xr-x
/usr/bin/ei-debug-events 755 root root 18752 regular file -rwxr-xr-x
/usr/bin/thin_repair 777 root root 11 symbolic link lrwxrwxrwx
/usr/bin/sstpc 755 root root 81160 regular file -rwxr-xr-x
/usr/bin/xfs_freeze 755 root root 800 regular file -rwxr-xr-x
/usr/bin/systemd-mount 755 root root 55848 regular file -rwxr-xr-x
/usr/bin/drbl-get-user 777 root root 8 symbolic link lrwxrwxrwx
/usr/bin/drill 755 root root 63576 regular file -rwxr-xr-x
/usr/bin/pathchk 755 root root 35048 regular file -rwxr-xr-x
/usr/bin/btconfig 755 root root 22648 regular file -rwxr-xr-x
/usr/bin/reflector 755 root root 99 regular file -rwxr-xr-x
/usr/bin/shutdown 777 root root 9 symbolic link lrwxrwxrwx
/usr/bin/gphoto2-config 755 root root 1101 regular file -rwxr-xr-x
/usr/bin/tss2_nvextend 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/sktest 755 root root 14272 regular file -rwxr-xr-x
/usr/bin/nl-list-sockets 755 root root 14384 regular file -rwxr-xr-x
/usr/bin/cups-genppd.5.3 755 root root 67736 regular file -rwxr-xr-x
/usr/bin/aa-teardown 755 root root 137 regular file -rwxr-xr-x
/usr/bin/brltty-prologue.tcl 644 root root 16283 regular file -rw-r--r--
/usr/bin/tee 755 root root 39136 regular file -rwxr-xr-x
/usr/bin/b43-fwcutter 755 root root 45224 regular file -rwxr-xr-x
/usr/bin/rlogind 755 root root 68408 regular file -rwxr-xr-x
/usr/bin/showmount 755 root root 14648 regular file -rwxr-xr-x
/usr/bin/ocs-rm-win-swap-hib 755 root root 2718 regular file -rwxr-xr-x
/usr/bin/idevicename 755 root root 14352 regular file -rwxr-xr-x
/usr/bin/tdbdump 755 root root 14352 regular file -rwxr-xr-x
/usr/bin/screen 777 root root 12 symbolic link lrwxrwxrwx
/usr/bin/gdtopng 755 root root 14376 regular file -rwxr-xr-x
/usr/bin/unzip 755 root root 170152 regular file -rwxr-xr-x
/usr/bin/badblocks 755 root root 34872 regular file -rwxr-xr-x
/usr/bin/ilmidiag 755 root root 14376 regular file -rwxr-xr-x
/usr/bin/neofetch 755 root root 378948 regular file -rwxr-xr-x
/usr/bin/fsck.reiserfs 777 root root 10 symbolic link lrwxrwxrwx
/usr/bin/ntfscat 755 root root 26536 regular file -rwxr-xr-x
/usr/bin/nfbpf_compile 755 root root 14384 regular file -rwxr-xr-x
/usr/bin/update-efi-nvram-boot-entry 755 root root 32186 regular file -rwxr-xr-x
/usr/bin/mtype 777 root root 6 symbolic link lrwxrwxrwx
/usr/bin/tpm2 755 root root 697512 regular file -rwxr-xr-x
/usr/bin/mysql 777 root root 7 symbolic link lrwxrwxrwx
/usr/bin/brltty-atb 755 root root 190936 regular file -rwxr-xr-x
/usr/bin/btrfs 755 root root 1360952 regular file -rwxr-xr-x
/usr/bin/heif-convert 777 root root 8 symbolic link lrwxrwxrwx
/usr/bin/scalar 755 root root 843568 regular file -rwxr-xr-x
/usr/bin/fftwf-wisdom 755 root root 36704 regular file -rwxr-xr-x
/usr/bin/nf-exp-list 755 root root 15008 regular file -rwxr-xr-x
/usr/bin/systemd-notify 755 root root 27056 regular file -rwxr-xr-x
/usr/bin/jiv 755 root root 30840 regular file -rwxr-xr-x
/usr/bin/kinit 755 root root 30760 regular file -rwxr-xr-x
/usr/bin/aclocal 755 root root 37738 regular file -rwxr-xr-x
