a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.2-1
alsa-card-profiles 1:0.3.80-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
amd-ucode 20230804.7be2766d-2
aml 0.3.0-1
amtk 5.6.1-2
android-udev 20230614-1
aom 3.7.0-1
appstream 0.16.3-1
apr 1.7.3-1
apr-util 1.6.3-1
archlinux-keyring 20230918-1
argon2 20190702-5
arj 3.10.22-13
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r127+g55d783d-1
b43-fwcutter 019-4
base 3-1
bash 5.1.016-4
bash-completion 2.11-3
bat 0.23.0-3
beautyline 1:20230729-1
bemenu 0.6.16-1
bemenu-wayland 0.6.16-1
bind 9.18.19-1
binutils 2.41-3
bison 3.8.2-6
bleachbit 4.4.2-4
blueberry 1.4.8-1
bluetooth-support 1-7
bluez 5.69-1
bluez-hid2hci 5.69-1
bluez-libs 5.69-1
bluez-plugins 5.69-1
bluez-tools 0.2.0-5
bluez-utils 5.69-1
bolt 0.9.5-1
boost-libs 1.83.0-2
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-12
btrfs-assistant 1.8-2
btrfs-progs 6.5.1-1
btrfsmaintenance 0.5-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.93-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
candy-icons-git r1065.7e41430-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
celluloid 0.26-1
chaotic-keyring 20230616-1
chaotic-mirrorlist 20230823-1
chromaprint 1.5.1-7
chrono-date 3.0.1-3
cifs-utils 7.0-3
ckbcomp 1.221-1
clipman 1.6.2-1
confuse 3.3-3
coreutils 9.3-1
cpio 2.14-1
cracklib 2.9.11-1
cryptsetup 2.6.1-3
curl 8.3.0-1
curlftpfs 0.9.2-8
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
dconf-editor 43.0-1
default-cursors 2-1
deluge 1:2.1.1-4
deluge-gtk 1:2.1.1-4
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
dex 0.9.0-1
dialog 1:1.3_20230209-1
diffutils 3.10-1
ding-libs 0.6.2-1
djvulibre 3.5.28-5
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dracut 059-3
duktape 2.7.0-6
e2fsprogs 1.47.0-1
ecryptfs-utils 111-8
efibootmgr 18-2
efivar 38-3
enchant 2.5.0-1
eog 44.3-1
espeak-ng 1.51.1-2
ethtool 1:6.4-1
evince 44.3-1
exempi 2.6.4-1
exfatprogs 1.2.1-1
exiv2 0.28.0-3
expac 10-5
expat 2.5.0-1
expect 5.45.4-4
eza 0.13.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.1-1
fastfetch 2.0.5-1
fatresize 1.1.0-1
ffmpeg 2:6.0-11
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.45-1
file-roller 43.0-2
filesystem 2023.01.31-1
find-the-command-git 2.0.1.r0.gfecba1a-1.1
findutils 4.9.0-3
firedragon 117.0.1-1
fish 3.6.1-1
fish-autopair 1.0.4-1
flac 1.4.3-1
flashrom 1.2-4
flex 2.6.4-5
fluidsynth 2.3.3-1
fmt 10.1.0-1
fontconfig 2:2.14.2-1
fprintd 1.94.2-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fscrypt 0.3.4-1
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fwupd 1.9.5-2
fwupd-efi 1.4-1
fzf 0.42.0-1
game-devices-udev 0.22-0.2
gammastep 2.0.9-2
garuda-assistant 2.7.6-1
garuda-bash-config 1.0.4-1
garuda-boot-options 1.0.3-1
garuda-browser-settings 1.2.3-1
garuda-common-settings 2.6.16-1
garuda-dracut-support 1.0.1-1
garuda-fish-config 1.5.16-1
garuda-gamer 1.1.9-1
garuda-hooks 2.10.1-1
garuda-hotfixes 1.1.2-1
garuda-icons r38.be2c9ae-1
garuda-libs 1.4.2-1
garuda-migrations 2.4.2-1
garuda-network-assistant 1.1.2-1
garuda-settings-manager 1.0.2-3
garuda-setup-assistant 3.1.11-1
garuda-starship-prompt 1.0.3-1
garuda-system-maintenance 2.0.5-1
garuda-update 4.2.2-1
garuda-wallpapers r86.e1486a1-1
garuda-wayfire-settings 1.0.30-1
garuda-welcome 1.2.1-1
garuda-zsh-config 1.1.8-1
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.6-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gedit 44.2-2
gedit-plugins 44.1-2
geoclue 2.7.1-1
geoip 1.6.12-2
geoip-database 20230901-1
gestures 0.3.1-1.3
gettext 0.22-1
ghostscript 10.02.0-1
giflib 5.2.1-2
git 2.42.0-1
gjs 2:1.76.2-1
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib2 2.78.0-2
glibc 2.38-3
glibmm 2.66.6-1
glslang 13.0.0-1
glu 9.0.3-1
gmp 6.3.0-1
gnome-autoar 0.4.4-1
gnome-bluetooth 3.34.5-4
gnome-calculator 44.0-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 45.0-1
gnome-firmware 43.2-1
gnome-keyring 1:42.1-3
gnome-logs 43.0-1
gnome-system-monitor 44.0-1
gnome-terminal-transparency 3.48.1-1
gnu-netcat 0.7.1-9
gnupg 2.2.41-2
gnustep-base 1.29.0-2
gnutls 3.8.1-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.12-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphite 1:1.3.14-3
greetd 0.9.0-3
greetd-agreety 0.9.0-3
greetd-qtgreet 1.0.0-4
grep 3.11-1
grim 1.4.1-1
groff 1.23.0-5
