a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.4-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
alsa-utils 1.2.11-1
amd-ucode 20240312.3b128b60-1
android-udev 20231124-1
aom 3.8.2-1
appstream 1.0.2-1
apr 1.7.4-1
apr-util 1.6.3-1
archlinux-keyring 20240313-1
argon2 20190702-5
arj 3.10.22-13
at-spi2-core 2.50.2-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.1-2
autoconf 2.72-1
automake 1.16.5-2
autotiling 1.9.1-1
avahi 1:0.8+r194+g3f79789-1
azote 1.12.5-1
b43-fwcutter 019-4
base 3-2
bash 5.2.026-2
bash-completion 2.11-3
bat 0.24.0-1
bemenu 0.6.20-1
bemenu-wayland 0.6.20-1
bind 9.18.24-1
binutils 2.42-2
bison 3.8.2-6
blueberry 1.4.8-1
bluetooth-support 1-7
bluez 5.73-4
bluez-hid2hci 5.73-4
bluez-libs 5.73-4
bluez-tools 0.2.0-5
bluez-utils 5.73-4
bolt 0.9.7-1
boost-libs 1.83.0-5
bridge-utils 1.7.1-2
brightnessctl 0.5.1-2
brotli 1.1.0-1
btop 1.3.2-1
btrfs-assistant 2.0-1
btrfs-progs 6.7.1-1
btrfsmaintenance 0.5-2
bubblewrap 0.8.0-1
bzip2 1.0.8-6
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cage 0.1.5-2
cairo 1.18.0-2
cairomm 1.14.5-1
calcurse 4.8.1-1
cantarell-fonts 1:0.303.1-1
capitaine-cursors 4-2
catfish 4.18.0-1
cdparanoia 10.2-9
celluloid 0.26-1
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240306-1
chromaprint 1.5.1-7
cifs-utils 7.0-3
ckbcomp 1.221-1
cliphist 1:0.5.0-1
confuse 3.3-4
coreutils 9.4-3
cpio 2.15-1
cryptsetup 2.7.1-1
curl 8.6.0-3
curlftpfs 0.9.2-8
dav1d 1.4.0-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-python 1.3.2-2
dconf 0.40.0-2
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
dex 0.9.0-1
dialog 1:1.3_20240101-1
diffutils 3.10-1
ding-libs 0.6.2-2
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.90-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dracut 059-6
duktape 2.7.0-6
e2fsprogs 1.47.0-2
ecryptfs-utils 111-8
efibootmgr 18-3
efivar 39-1
enchant 2.6.5-1
eog 45.3-1
espeak-ng 1.51.1-2
ethtool 1:6.7-1
exempi 2.6.5-1
exfatprogs 1.2.2-1
exo 4.18.0-1
expac 10-10
expat 2.6.2-1
expect 5.45.4-4
eza 0.18.7-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.34-1
fastfetch 2.8.9-1
fatresize 1.1.0-1
fcft 3.1.8-1
ffmpeg 2:6.1.1-6
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-6
file 5.45-1
file-roller 43.1-1
filesystem 2024.01.19-1
find-the-command-git 2.0.1.r0.gfecba1a-1.1
findutils 4.9.0-3
fish 3.7.0-1
fish-autopair 1.0.4-1
flac 1.4.3-1
flashrom 1.2-4
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
foot 1.16.2-2
fprintd 1.94.2-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fscrypt 0.3.4-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fuzzel 1.9.2-1
fwupd 1.9.15-1
fwupd-efi 1.4-1
fzf 0.48.0-1
galculator 2.1.4-8
game-devices-udev 0.22-0.2
garuda-assistant 2.7.6-1
garuda-bash-config 1.0.6-1
garuda-boot-options 1.0.4-1
garuda-browser-settings 1.2.4-1
garuda-common-settings 2.6.23-1
garuda-dracut-support 1.0.1-1
garuda-fish-config 1.5.23-1
garuda-gamer 1.1.9-1
garuda-hooks 2.10.2-1
garuda-hotfixes 1.1.2-1
garuda-icons r40.a0891d2-1
garuda-libs 1.4.6-1
garuda-migrations 2.5.2-1
garuda-network-assistant 1.1.3-1
garuda-settings-manager 1.0.4-1
garuda-setup-assistant 3.1.11-1
garuda-starship-prompt 1.0.3-1
garuda-sway-settings 1.1.37-2
garuda-system-maintenance 3.0.0-2
garuda-update 4.8.0-1
garuda-wallpapers r89.931d2e5-1
garuda-welcome 1.2.10-1
garuda-zsh-config 1.1.10-1
gawk 5.3.0-1
gc 8.2.6-1
gcab 1.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.1-2
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-2
geoip 1.6.12-2
geoip-database 20240309-1
gestures 0.3.1-1.3
gettext 0.22.4-1
giflib 5.2.2-1
git 2.44.0-1
glew 2.2.0-6
glib-networking 1:2.78.1-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glslang 14.0.0-2
glu 9.0.3-1
gmp 6.3.0-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-firmware 45.0-1
gnome-keyring 1:46.1-2
gnu-netcat 0.7.1-9
gnupg 2.4.5-1
gnustep-base 1.29.0-3
gnutls 3.8.3-1
gobject-introspection-runtime 1.78.1-1
gparted 1.6.0-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphite 1:1.3.14-3
greetd 0.9.0-3
greetd-agreety 0.9.0-3
greetd-regreet 0.1.1-1
grep 3.11-1
grim 1.4.1-1
groff 1.23.0-5
grub 2:2.12-2
grub-btrfs 4.13-1
grub-garuda 2.06-2
grub-theme-garuda r26.972b17c-1
gsettings-desktop-schemas 45.0-1
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-libav 1.24.0-1
gst-plugin-pipewire 1:1.0.4-1
gst-plugins-bad 1.24.0-1
gst-plugins-bad-libs 1.24.0-1
gst-plugins-base 1.24.0-1
