a52dec 0.8.0-2
aalib 1.4rc5-17
acl 2.3.1-3
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
aic94xx-firmware 30-9
alacritty 0.12.2-1
alsa-card-profiles 1:0.3.72-1
alsa-lib 1.2.9-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
amd-ucode 20230625.ee91452d-3
aom 3.6.1-1
arandr 0.1.11-2
arch-install-scripts 28-1
archcraft-about 1.0-4
archcraft-artworks 1.0-4
archcraft-backgrounds 1.0-4
archcraft-backgrounds-branding 1.0-4
archcraft-bspwm 4.0-0
archcraft-config-geany 1.0-1
archcraft-config-music 1.0-1
archcraft-config-qt 1.0-0
archcraft-cursor-fluent 1.0-4
archcraft-cursor-future 1.0-4
archcraft-cursor-layan 1.0-4
archcraft-cursor-lyra 1.0-4
archcraft-cursor-material 1.0-4
archcraft-cursor-pear 1.0-4
archcraft-cursor-qogirr 1.0-4
archcraft-cursor-sweet 1.0-4
archcraft-cursor-vimix 1.0-4
archcraft-dunst-icons 1.0-2
archcraft-fonts 1.0-6
archcraft-funscripts 1.0-0
archcraft-grub-theme 1.0-4
archcraft-gtk-theme-adapta 1.0-5
archcraft-gtk-theme-arc 1.0-5
archcraft-gtk-theme-blade 1.0-5
archcraft-gtk-theme-catppuccin 1.0-1
archcraft-gtk-theme-cyberpunk 1.0-5
archcraft-gtk-theme-dracula 1.0-5
archcraft-gtk-theme-easy 1.0-5
archcraft-gtk-theme-everforest 1.0-1
archcraft-gtk-theme-groot 1.0-5
archcraft-gtk-theme-gruvbox 1.0-5
archcraft-gtk-theme-hack 1.0-5
archcraft-gtk-theme-juno 1.0-5
archcraft-gtk-theme-kripton 1.0-5
archcraft-gtk-theme-manhattan 1.0-5
archcraft-gtk-theme-nordic 1.0-5
archcraft-gtk-theme-rick 1.0-5
archcraft-gtk-theme-slime 1.0-5
archcraft-gtk-theme-spark 1.0-5
archcraft-gtk-theme-sweet 1.0-5
archcraft-gtk-theme-wave 1.0-5
archcraft-gtk-theme-white 1.0-5
archcraft-gtk-theme-windows 1.0-5
archcraft-help 1.0-9
archcraft-hooks 2.0-1
archcraft-hooks-extra 2.0-3
archcraft-hooks-zsh 1.0-1
archcraft-icons-arc 1.0-6
archcraft-icons-breeze 1.0-6
archcraft-icons-hack 1.0-5
archcraft-icons-luna 1.0-5
archcraft-icons-luv 1.0-5
archcraft-icons-nordic 1.0-5
archcraft-icons-numix 1.0-5
archcraft-icons-papirus 1.0-5
archcraft-icons-qogir 1.0-5
archcraft-icons-white 1.0-5
archcraft-icons-win11 1.0-5
archcraft-icons-zafiro 1.0-5
archcraft-install-scripts 2.0-4
archcraft-installer 3.0-0
archcraft-mirrorlist 2.0-1
archcraft-music 1.0-4
archcraft-neofetch 1.0-2
archcraft-omz 2.0-0
archcraft-openbox 4.0-0
archcraft-plymouth-theme 1.0-4
archcraft-ranger 1.0-2
archcraft-sddm-theme 1.0-4
archcraft-vim 1.0-7
archcraft-welcome 1.0-4
archinstall 2.5.6-1
archlinux-keyring 20230704-1
argon2 20190702-5
ast-firmware 501-1
at-spi2-core 2.48.3-2
atkmm 2.28.3-1
atril 1.26.1-1
attr 2.5.1-3
audiofile 0.3.6-8
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
b43-fwcutter 019-4
bamf 0.5.6-1
base 3-1
bash 5.1.016-4
bc 1.07.1-4
betterlockscreen 4.0.4-2
bind 9.18.16-1
binutils 2.40-6
bison 3.8.2-6
blueman 2.3.5-2
bluez 5.68-1
bluez-libs 5.68-1
bluez-utils 5.68-1
boost 1.81.0-7
boost-libs 1.81.0-7
brltty 6.5-5
broadcom-wl 6.30.223.271-481
brotli 1.0.9-12
bspwm 0.9.10-3
btrfs-progs 6.3.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.91-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairo-perl 1.109-2
cairomm 1.14.4-1
calamares 3.2.61-5
calamares-config 3.0-0
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
chromaprint 1.5.1-7
cifs-utils 7.0-3
ckbcomp 1.221-1
clonezilla 3.35.2-5
cloud-init 23.2.1-1
colord 1.4.6-1
confuse 3.3-3
coreutils 9.3-1
cracklib 2.9.11-1
cronie 1.6.1-1
cryptsetup 2.6.1-3
ctpl 0.3.4-4
cups 1:2.4.6-1
cups-filters 1.28.17-4
cups-pdf 3.0.1-7
curl 8.1.2-1
darkhttpd 1.14-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.8-1
dbus-glib 0.112-3
dconf 0.40.0-2
ddrescue 1.27-1
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dhclient 4.4.3.P1-2
dhcpcd 10.0.1-1
dialog 1:1.3_20230209-1
diffutils 3.10-1
ding-libs 0.6.2-1
djvulibre 3.5.28-5
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
drbl 2.30.5-3
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
edk2-shell 202305-1
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.12-1
eglexternalplatform 1.1-2
elementary-icon-theme 7.3.0-1
ell 0.57-1
enca 1.19-5
enchant 2.3.4-2
ethtool 1:6.3-1
exfatprogs 1.2.1-1
exiv2 0.28.0-3
exo 4.18.0-1
expat 2.5.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.31-2
fatresize 1.1.0-1
feh 3.10-1
ffmpeg 2:6.0-8
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.44-3
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 115.0-1
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.3-1
fmt 9.1.0-4
fontconfig 2:2.14.2-1
foomatic-db 3:20230402-1
foomatic-db-engine 4:20220521-1
foot-terminfo 1.14.0-1
freeglut 3.4.0-1
freetype2 2.13.1-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.14.1-1
fuse2 2.9.9-4
fuse3 3.14.1-1
fzf 0.42.0-1
galculator 2.1.4-8
garcon 4.18.1-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdbm 1.23-2
gdk-pixbuf-xlib 2.40.2-2
gdk-pixbuf2 2.42.10-2
geany 1.38-3
geany-plugins 1.38-6
gettext 0.22-1
ghostscript 10.01.2-1
giflib 5.2.1-2
git 2.41.0-1
glew 2.2.0-6
glib-networking 1:2.76.1-1
glib-perl 1.329.3-3
glib2 2.76.3-1
glibc 2.37-3
glibmm 2.66.6-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-keyring 1:42.1-3
gnome-menus 3.36.0-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnustep-base 1.29.0-2
gnutls 3.8.0-1
gobject-introspection-runtime 1.76.1-3
gpart 0.3-4
gparted 1.5.0-1
