UNIT FILE                                                                 STATE           PRESET
proc-sys-fs-binfmt_misc.automount                                         static          -
-.mount                                                                   generated       -
23.1.mount                                                                generated       -
4ndr0.mount                                                               generated       -
boot-efi.mount                                                            generated       -
dev-hugepages.mount                                                       static          -
dev-mqueue.mount                                                          static          -
home.mount                                                                generated       -
Nas.mount                                                                 generated       -
proc-fs-nfsd.mount                                                        static          -
proc-sys-fs-binfmt_misc.mount                                             disabled        disabled
root.mount                                                                generated       -
srv.mount                                                                 generated       -
sys-fs-fuse-connections.mount                                             static          -
sys-kernel-config.mount                                                   static          -
sys-kernel-debug.mount                                                    static          -
sys-kernel-tracing.mount                                                  static          -
tmp.mount                                                                 static          -
var-cache.mount                                                           generated       -
var-lib-machines.mount                                                    static          -
var-lib-nfs-rpc_pipefs.mount                                              static          -
var-log.mount                                                             generated       -
var-tmp.mount                                                             generated       -
btrfsmaintenance-refresh.path                                             disabled        disabled
gpm.path                                                                  static          -
grub-btrfs-snapper.path                                                   disabled        disabled
systemd-ask-password-console.path                                         static          -
systemd-ask-password-plymouth.path                                        static          -
systemd-ask-password-wall.path                                            static          -
session-2.scope                                                           transient       -
accounts-daemon.service                                                   disabled        disabled
adsl.service                                                              disabled        disabled
archlinux-keyring-wkd-sync.service                                        static          -
arptables.service                                                         disabled        disabled
audit-rules.service                                                       disabled        disabled
auditd.service                                                            disabled        disabled
auth-rpcgss-module.service                                                static          -
autovt@.service                                                           alias           -
avahi-daemon.service                                                      disabled        disabled
avahi-dnsconfd.service                                                    disabled        disabled
betterlockscreen@.service                                                 disabled        disabled
blk-availability.service                                                  disabled        disabled
blueman-mechanism.service                                                 disabled        disabled
bluetooth-autoconnect.service                                             disabled        disabled
bluetooth.service                                                         disabled        disabled
bolt.service                                                              static          -
btrfs-balance.service                                                     static          -
btrfs-defrag.service                                                      static          -
btrfs-scrub.service                                                       static          -
btrfs-scrub@.service                                                      static          -
btrfs-trim.service                                                        static          -
btrfsmaintenance-refresh.service                                          static          -
canberra-system-bootup.service                                            disabled        disabled
canberra-system-shutdown-reboot.service                                   disabled        disabled
canberra-system-shutdown.service                                          disabled        disabled
colord.service                                                            static          -
console-getty.service                                                     disabled        disabled
container-getty@.service                                                  static          -
create_ap.service                                                         disabled        disabled
cronie.service                                                            disabled        disabled
dbus-org.freedesktop.home1.service                                        alias           -
dbus-org.freedesktop.hostname1.service                                    alias           -
dbus-org.freedesktop.import1.service                                      alias           -
dbus-org.freedesktop.locale1.service                                      alias           -
dbus-org.freedesktop.login1.service                                       alias           -
dbus-org.freedesktop.machine1.service                                     alias           -
dbus-org.freedesktop.network1.service                                     alias           -
dbus-org.freedesktop.nm-dispatcher.service                                alias           -
dbus-org.freedesktop.oom1.service                                         alias           -
dbus-org.freedesktop.portable1.service                                    alias           -
dbus-org.freedesktop.resolve1.service                                     alias           -
dbus-org.freedesktop.timedate1.service                                    alias           -
dbus-org.freedesktop.timesync1.service                                    alias           -
dbus.service                                                              static          -
debug-shell.service                                                       disabled        disabled
deluge-web.service                                                        disabled        disabled
deluged.service                                                           disabled        disabled
dirmngr@.service                                                          static          -
display-manager.service                                                   alias           -
dm-event.service                                                          static          -
dmraid.service                                                            disabled        disabled
dnsmasq.service                                                           disabled        disabled
dracut-cmdline.service                                                    static          -
dracut-initqueue.service                                                  static          -
dracut-mount.service                                                      static          -
dracut-pre-mount.service                                                  static          -
dracut-pre-pivot.service                                                  static          -
dracut-pre-trigger.service                                                static          -
dracut-pre-udev.service                                                   static          -
dracut-shutdown-onfailure.service                                         static          -
dracut-shutdown.service                                                   static          -
e2scrub@.service                                                          static          -
e2scrub_all.service                                                       static          -
e2scrub_fail@.service                                                     static          -
e2scrub_reap.service                                                      disabled        disabled
earlyoom.service                                                          enabled         disabled
ebtables.service                                                          disabled        disabled
emergency.service                                                         static          -
expressvpn.service                                                        enabled         disabled
fancontrol.service                                                        disabled        disabled
fprintd.service                                                           static          -
fsidd.service                                                             disabled        disabled
fstrim.service                                                            static          -
ftpd.service                                                              disabled        disabled
fwupd-offline-update.service                                              static          -
fwupd-refresh.service                                                     static          -
fwupd.service                                                             static          -
garuda-pacman-lock.service                                                disabled        disabled
garuda-pacman-snapshot-reject.service                                     disabled        disabled
garuda-system-maintenance@.service                                        static          -
geoclue.service                                                           static          -
getty@.service                                                            enabled         enabled
git-daemon@.service                                                       static          -
gpg-agent@.service                                                        static          -
gpm.service                                                               disabled        disabled
grub-btrfs-snapper.service                                                static          -
grub-btrfsd.service                                                       disabled        disabled
gssproxy.service                                                          disabled        disabled
haveged-once.service                                                      static          -
haveged.service                                                           disabled        disabled
hblock.service                                                            static          -
healthd.service                                                           disabled        disabled
hostapd.service                                                           disabled        disabled
hostapd@.service                                                          disabled        disabled
ibacm.service                                                             disabled        disabled
iio-sensor-proxy.service                                                  static          -
initrd-cleanup.service                                                    static          -
initrd-parse-etc.service                                                  static          -
initrd-switch-root.service                                                static          -
initrd-udevadm-cleanup-db.service                                         static          -
inputattach.service                                                       disabled        disabled
ip6tables.service                                                         disabled        disabled
iptables.service                                                          disabled        disabled
irexec.service                                                            disabled        disabled
iwpmd.service                                                             static          -
jdownloader.service                                                       disabled        disabled
keyboxd@.service                                                          static          -
kmod-static-nodes.service                                                 static          -
krb5-kadmind.service                                                      disabled        disabled
krb5-kdc.service                                                          disabled        disabled
krb5-kpropd.service                                                       disabled        disabled
krb5-kpropd@.service                                                      static          -
lastlog2-import.service                                                   disabled        disabled
ldconfig.service                                                          static          -
lightdm-plymouth.service                                                  disabled        disabled
linux-modules-cleanup.service                                             disabled        disabled
lircd-setup.service                                                       disabled        disabled
lircd-uinput.service                                                      disabled        disabled
lircd.service                                                             disabled        disabled
lircmd.service                                                            disabled        disabled
lm_sensors.service                                                        disabled        disabled
logrotate.service                                                         static          -
lvm2-lvmpolld.service                                                     static          -
lvm2-monitor.service                                                      static          -
lxdm-plymouth.service                                                     disabled        disabled
man-db.service                                                            static          -
mdadm-grow-continue@.service                                              static          -
mdadm-last-resort@.service                                                static          -
mdcheck_continue.service                                                  static          -
mdcheck_start.service                                                     static          -
mdmon@.service                                                            static          -
mdmonitor-oneshot.service                                                 static          -
mdmonitor.service                                                         static          -
ModemManager.service                                                      disabled        disabled
modprobe@.service                                                         static          -
mpd.service                                                               disabled        disabled
named.service                                                             disabled        disabled
NetworkManager-dispatcher.service                                         enabled         disabled
NetworkManager-wait-online.service                                        enabled         disabled
NetworkManager.service                                                    enabled         disabled
nfs-blkmap.service                                                        disabled        disabled
nfs-idmapd.service                                                        static          -
nfs-mountd.service                                                        static          -
nfs-server.service                                                        disabled        disabled
nfs-utils.service                                                         static          -
nfsdcld.service                                                           static          -
nfsv4-exportd.service                                                     static          -
nfsv4-server.service                                                      disabled        disabled
nftables.service                                                          disabled        disabled
nm-cloud-setup.service                                                    disabled        disabled
nm-priv-helper.service                                                    static          -
nvidia-hibernate.service                                                  disabled        disabled
nvidia-persistenced.service                                               disabled        disabled
nvidia-powerd.service                                                     disabled        disabled
nvidia-resume.service                                                     disabled        disabled
nvidia-suspend.service                                                    disabled        disabled
openvpn-client@.service                                                   disabled        disabled
openvpn-server@.service                                                   disabled        disabled
paccache.service                                                          static          -
pacman-filesdb-refresh.service                                            static          -
pam_namespace.service                                                     static          -
passim.service                                                            static          -
pcscd.service                                                             indirect        disabled
pkgfile-update.service                                                    static          -
plymouth-deactivate.service                                               static          -
plymouth-halt.service                                                     static          -
plymouth-kexec.service                                                    static          -
plymouth-poweroff.service                                                 static          -
plymouth-quit-wait.service                                                static          -
plymouth-quit.service                                                     static          -
plymouth-read-write.service                                               static          -
plymouth-reboot.service                                                   static          -
plymouth-start.service                                                    static          -
plymouth-switch-root-initramfs.service                                    static          -
plymouth-switch-root.service                                              static          -
polkit.service                                                            static          -
ppp@.service                                                              disabled        disabled
quotaon.service                                                           static          -
rdma-load-modules@.service                                                static          -
rdma-ndd.service                                                          static          -
reflector.service                                                         disabled        disabled
rescue.service                                                            static          -
rfkill-block@.service                                                     disabled        disabled
rfkill-unblock@.service                                                   disabled        disabled
rlogin@.service                                                           static          -
rpc-gssd.service                                                          static          -
rpc-statd-notify.service                                                  static          -
rpc-statd.service                                                         static          -
rpcbind.service                                                           disabled        disabled
rrdcached.service                                                         disabled        disabled
rsh@.service                                                              static          -
rsyncd.service                                                            disabled        disabled
rsyncd@.service                                                           static          -
rtkit-daemon.service                                                      disabled        disabled
sddm-plymouth.service                                                     enabled         disabled
sddm.service                                                              disabled        disabled
seatd.service                                                             disabled        disabled
sensord.service                                                           disabled        disabled
serial-getty@.service                                                     disabled        disabled
shadow.service                                                            static          -
slapd.service                                                             disabled        disabled
snapper-boot.service                                                      static          -
snapper-cleanup.service                                                   static          -
snapper-timeline.service                                                  static          -
snapperd.service                                                          static          -
sndiod.service                                                            disabled        disabled
srp_daemon.service                                                        disabled        disabled
srp_daemon_port@.service                                                  disabled        disabled
sshd.service                                                              disabled        disabled
sshdgenkeys.service                                                       static          -
strongswan-starter.service                                                disabled        disabled
strongswan.service                                                        disabled        disabled
sudo_logsrvd.service                                                      disabled        disabled
svnserve.service                                                          disabled        disabled
system-update-cleanup.service                                             static          -
systemd-ask-password-console.service                                      static          -
systemd-ask-password-plymouth.service                                     static          -
systemd-ask-password-wall.service                                         static          -
systemd-backlight@.service                                                static          -
systemd-battery-check.service                                             static          -
systemd-binfmt.service                                                    static          -
systemd-bless-boot.service                                                static          -
systemd-boot-check-no-failures.service                                    disabled        disabled
systemd-boot-random-seed.service                                          static          -
systemd-boot-update.service                                               enabled         enabled
systemd-bsod.service                                                      static          -
systemd-confext.service                                                   enabled         enabled
systemd-coredump@.service                                                 static          -
systemd-exit.service                                                      static          -
systemd-firstboot.service                                                 static          -
systemd-fsck-root.service                                                 static          -
systemd-fsck@.service                                                     static          -
systemd-growfs-root.service                                               static          -
systemd-growfs@.service                                                   static          -
systemd-halt.service                                                      static          -
systemd-hibernate-resume.service                                          static          -
systemd-hibernate.service                                                 static          -
systemd-homed-activate.service                                            enabled         disabled
systemd-homed.service                                                     enabled         enabled
systemd-hostnamed.service                                                 static          -
systemd-hwdb-update.service                                               static          -
systemd-hybrid-sleep.service                                              static          -
systemd-importd.service                                                   static          -
systemd-journal-catalog-update.service                                    static          -
systemd-journal-flush.service                                             static          -
systemd-journal-gatewayd.service                                          indirect        disabled
systemd-journal-remote.service                                            indirect        disabled
systemd-journal-upload.service                                            disabled        disabled
systemd-journald.service                                                  static          -
systemd-journald@.service                                                 static          -
systemd-kexec.service                                                     static          -
systemd-localed.service                                                   static          -
systemd-logind.service                                                    static          -
systemd-machine-id-commit.service                                         static          -
systemd-machined.service                                                  static          -
systemd-modules-load.service                                              static          -
systemd-network-generator.service                                         enabled         enabled
systemd-networkd-wait-online.service                                      enabled         enabled
systemd-networkd-wait-online@.service                                     disabled        disabled
systemd-networkd.service                                                  enabled         enabled
systemd-nspawn@.service                                                   disabled        disabled
systemd-oomd.service                                                      enabled         disabled
systemd-pcrextend@.service                                                static          -
systemd-pcrfs-root.service                                                static          -
systemd-pcrfs@.service                                                    static          -
systemd-pcrlock-file-system.service                                       disabled        disabled
systemd-pcrlock-firmware-code.service                                     disabled        disabled
systemd-pcrlock-firmware-config.service                                   disabled        disabled
systemd-pcrlock-machine-id.service                                        disabled        disabled
systemd-pcrlock-make-policy.service                                       disabled        disabled
systemd-pcrlock-secureboot-authority.service                              disabled        disabled
systemd-pcrlock-secureboot-policy.service                                 disabled        disabled
systemd-pcrmachine.service                                                static          -
systemd-pcrphase-initrd.service                                           static          -
systemd-pcrphase-sysinit.service                                          static          -
systemd-pcrphase.service                                                  static          -
systemd-portabled.service                                                 static          -
systemd-poweroff.service                                                  static          -
systemd-pstore.service                                                    enabled         enabled
systemd-quotacheck.service                                                static          -
systemd-random-seed.service                                               static          -
systemd-reboot.service                                                    static          -
systemd-remount-fs.service                                                enabled-runtime disabled
systemd-repart.service                                                    static          -
systemd-resolved.service                                                  enabled         enabled
systemd-rfkill.service                                                    static          -
systemd-soft-reboot.service                                               static          -
systemd-storagetm.service                                                 static          -
systemd-suspend-then-hibernate.service                                    static          -
systemd-suspend.service                                                   static          -
systemd-sysctl.service                                                    static          -
systemd-sysext.service                                                    enabled         enabled
systemd-sysext@.service                                                   static          -
systemd-sysupdate-reboot.service                                          indirect        disabled
systemd-sysupdate.service                                                 indirect        disabled
systemd-sysusers.service                                                  static          -
systemd-time-wait-sync.service                                            disabled        disabled
systemd-timedated.service                                                 static          -
systemd-timesyncd.service                                                 enabled         enabled
systemd-tmpfiles-clean.service                                            static          -
systemd-tmpfiles-setup-dev-early.service                                  static          -
systemd-tmpfiles-setup-dev.service                                        static          -
systemd-tmpfiles-setup.service                                            static          -
systemd-tpm2-setup-early.service                                          static          -
systemd-tpm2-setup.service                                                static          -
systemd-udev-settle.service                                               static          -
systemd-udev-trigger.service                                              static          -
systemd-udevd.service                                                     static          -
systemd-update-done.service                                               static          -
systemd-update-utmp.service                                               static          -
systemd-user-sessions.service                                             static          -
systemd-userdbd.service                                                   indirect        disabled
systemd-vconsole-setup.service                                            static          -
systemd-volatile-root.service                                             static          -
systemd-zram-setup@.service                                               static          -
talk.service                                                              indirect        disabled
teamd@.service                                                            static          -
telnet@.service                                                           static          -
udisks2.service                                                           disabled        disabled
ufw.service                                                               enabled         disabled
updatedb.service                                                          static          -
upower.service                                                            disabled        disabled
usb_modeswitch@.service                                                   static          -
usbmuxd.service                                                           static          -
user-runtime-dir@.service                                                 static          -
user@.service                                                             static          -
uuidd.service                                                             indirect        disabled
vpnc@.service                                                             disabled        disabled
wacom-inputattach@.service                                                static          -
wg-quick@.service                                                         disabled        disabled
wpa_supplicant-nl80211@.service                                           disabled        disabled
wpa_supplicant-wired@.service                                             disabled        disabled
wpa_supplicant.service                                                    disabled        disabled
wpa_supplicant@.service                                                   disabled        disabled
xfs_scrub@.service                                                        static          -
xfs_scrub_all.service                                                     static          -
xfs_scrub_fail@.service                                                   static          -
xl2tpd.service                                                            disabled        disabled
machine.slice                                                             static          -
system-systemd\x2dcryptsetup.slice                                        static          -
system-systemd\x2dveritysetup.slice                                       static          -
user.slice                                                                static          -
avahi-daemon.socket                                                       disabled        disabled
dbus.socket                                                               static          -
dirmngr@.socket                                                           static          -
dm-event.socket                                                           static          -
git-daemon.socket                                                         disabled        disabled
gpg-agent-browser@.socket                                                 static          -
gpg-agent-extra@.socket                                                   static          -
gpg-agent-ssh@.socket                                                     static          -
gpg-agent@.socket                                                         static          -
ibacm.socket                                                              disabled        disabled
keyboxd@.socket                                                           static          -
krb5-kpropd.socket                                                        disabled        disabled
lircd.socket                                                              disabled        disabled
lvm2-lvmpolld.socket                                                      static          -
mpd.socket                                                                disabled        disabled
pcscd.socket                                                              disabled        disabled
rlogin.socket                                                             disabled        disabled
rpcbind.socket                                                            disabled        disabled
rrdcached.socket                                                          disabled        disabled
rsh.socket                                                                disabled        disabled
rsyncd.socket                                                             disabled        disabled
syslog.socket                                                             static          -
systemd-coredump.socket                                                   static          -
systemd-journal-gatewayd.socket                                           disabled        disabled
systemd-journal-remote.socket                                             disabled        disabled
systemd-journald-audit.socket                                             enabled         enabled
systemd-journald-dev-log.socket                                           static          -
systemd-journald-varlink@.socket                                          static          -
systemd-journald.socket                                                   static          -
systemd-journald@.socket                                                  static          -
systemd-networkd.socket                                                   enabled         disabled
systemd-oomd.socket                                                       enabled         disabled
systemd-pcrextend.socket                                                  disabled        disabled
systemd-rfkill.socket                                                     static          -
systemd-sysext.socket                                                     disabled        disabled
systemd-udevd-control.socket                                              static          -
systemd-udevd-kernel.socket                                               static          -
systemd-userdbd.socket                                                    enabled         enabled
talk.socket                                                               disabled        disabled
telnet.socket                                                             disabled        disabled
uuidd.socket                                                              disabled        disabled
dev-disk-by\x2duuid-d755bc3e\x2d41c3\x2d473e\x2da7bd\x2d0a4131de70e8.swap generated       -
dev-zram0.swap                                                            generated       -
basic.target                                                              static          -
blockdev@.target                                                          static          -
bluetooth.target                                                          static          -
boot-complete.target                                                      static          -
cryptsetup-pre.target                                                     static          -
cryptsetup.target                                                         static          -
ctrl-alt-del.target                                                       alias           -
default.target                                                            alias           -
emergency.target                                                          static          -
exit.target                                                               disabled        disabled
factory-reset.target                                                      static          -
final.target                                                              static          -
first-boot-complete.target                                                static          -
getty-pre.target                                                          static          -
getty.target                                                              static          -
graphical.target                                                          static          -
halt.target                                                               disabled        disabled
hibernate.target                                                          static          -
hybrid-sleep.target                                                       static          -
initrd-fs.target                                                          static          -
initrd-root-device.target                                                 static          -
initrd-root-fs.target                                                     static          -
initrd-switch-root.target                                                 static          -
initrd-usr-fs.target                                                      static          -
initrd.target                                                             static          -
integritysetup-pre.target                                                 static          -
integritysetup.target                                                     static          -
kexec.target                                                              disabled        disabled
local-fs-pre.target                                                       static          -
local-fs.target                                                           static          -
machines.target                                                           enabled         enabled
multi-user.target                                                         static          -
network-online.target                                                     static          -
network-pre.target                                                        static          -
network.target                                                            static          -
nfs-client.target                                                         disabled        disabled
nss-lookup.target                                                         static          -
nss-user-lookup.target                                                    static          -
paths.target                                                              static          -
poweroff.target                                                           disabled        disabled
printer.target                                                            static          -
rdma-hw.target                                                            static          -
reboot.target                                                             enabled         enabled
remote-cryptsetup.target                                                  enabled         enabled
remote-fs-pre.target                                                      static          -
remote-fs.target                                                          enabled         enabled
remote-veritysetup.target                                                 disabled        disabled
rescue.target                                                             static          -
rpc_pipefs.target                                                         static          -
rpcbind.target                                                            static          -
shutdown.target                                                           static          -
sigpwr.target                                                             static          -
sleep.target                                                              static          -
slices.target                                                             static          -
smartcard.target                                                          static          -
sockets.target                                                            static          -
soft-reboot.target                                                        static          -
sound.target                                                              static          -
storage-target-mode.target                                                static          -
suspend-then-hibernate.target                                             static          -
suspend.target                                                            static          -
swap.target                                                               static          -
sysinit.target                                                            static          -
system-update-pre.target                                                  static          -
system-update.target                                                      static          -
time-set.target                                                           static          -
time-sync.target                                                          static          -
timers.target                                                             static          -
umount.target                                                             static          -
usb-gadget.target                                                         static          -
veritysetup-pre.target                                                    static          -
veritysetup.target                                                        static          -
wg-quick.target                                                           static          -
archlinux-keyring-wkd-sync.timer                                          static          -
btrfs-balance.timer                                                       disabled        disabled
btrfs-defrag.timer                                                        disabled        disabled
btrfs-scrub.timer                                                         disabled        disabled
btrfs-scrub@.timer                                                        disabled        disabled
btrfs-trim.timer                                                          disabled        disabled
e2scrub_all.timer                                                         disabled        disabled
fstrim.timer                                                              disabled        disabled
fwupd-refresh.timer                                                       disabled        disabled
hblock.timer                                                              disabled        disabled
logrotate.timer                                                           disabled        disabled
man-db.timer                                                              disabled        disabled
mdadm-last-resort@.timer                                                  static          -
mdcheck_continue.timer                                                    disabled        disabled
mdcheck_start.timer                                                       disabled        disabled
mdmonitor-oneshot.timer                                                   disabled        disabled
